Index,Date_first_measurements_taken,Specimen_ID,Taxon,Tip_label,Added?,Sources_for_phylogenetic_placement,MajorClade,Subclade,Subgroup1,Subgroup2,Neonate?,Specimen_type,Morphosource_ark,Flipper_status,Ecotype1,Ecotype2,Ecotype3,Ecotype_references,IUCN_cat,IUCN_source,fore_type,hind_type,f_subtype,h_subtype,Limb_type_references,Skull present?,Limb Articulated?,Photographable?,TO PHOTOGRAPH?,Photo credit,First_occurrence (mya),last_occurrence (mya),Citation for occurrences,Notes on occurrences,Limb_region_measurement_method,Length_units,Included_unguals?,Humerus,Radius,Ulna,EFZL,Hand,f_AZR,f_SZR,f_ASR,f_AnAR,Femur,Tibia,Foot,h_AZR,h_SZR,h_ASR,h_AnAR,Limb_region_measurement_notes,Acropod_LM_measurement_method,mD_Antmost,mD_Postmost,mD_Longest,mD_Symmetry_index1,mD_Symmetry_index2,pD_Antmost,pD_Postmost,pD_Longest,pD_Symmetry_index1,pD_Symmetry_index2,mD3_up_Height,mD3_up_TopLength,mD3_up_BottomLength,mD3_up_FI1,mD3_up_FI2,mD3_up_FI3,pD3_up_Height,pD3_up_TopLength,pD3_up_BottomLength,pD3_up_FI1,pD3_up_FI2,pD3_up_FI3,Ungual_measurement_notes,mD3_proxp_Length,mD3_proxp_ProxWidth,mD3_proxp_DistWidth,mD3_proxp_Length/DistWidth,mD3_proxp_WidthRatios,pD3_proxp_Length,pD3_proxp_ProxWidth,pD3_proxp_DistWidth,pD3_proxp_Length/DistWidth,pD3_proxp_WidthRatios,proxp_measurement_notes
m-c003,8/22/22,YPM_MAM_007071,Enhydra_lutris,Enhydra_lutris__YPM_MAM_007071,Yes,Family-level interrelations of Carnivora derived from Van Valkenburgh et al. 2014 [https://doi.org/10.1002/ar.23026]. Species-level interrelations of mustelids derived from Law 2019 [http://dx.doi.org/10.1098/rsbl.2019.0155].,Pan-Mammalia,Ferae,Mustelidae,NA,No,"Recent, original skeleton",NA,Non-flippered,Highly Aquatic,large or fast-moving water bodies,predominantly marine,"This highly aquatic species seldom leaves the water, only venturing onto land for short periods during intense storms; although primarily near-shore marine, this species may inhabit high-energy coastal systems, often around 30m deep, and max diving depths have exceeded 90m, so we consider this species to occupy large/fast water bodies (Reid 2006, pp. 472–473, Sea Otter [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]; Doroff et al. 2021[https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T7750A219377647.en]).",EN,Doroff et al. 2021 (Enhydra lutris: https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T7750A219377647.en),Webbed,Webbed,"Complete, extensive","Complete, extensive","Hands have moderate complete webbing. Feet have complete, very extensive webbing and the acropodium is flipper-shaped. The feet are so highly webbed as to be near-flippered. Indeed, Reid (2006, p. 472 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]) calls their hindlimbs flippers, but we score them as non-flippered, given that the webbing does not functionally integrate the auto- and zeugopodia into a continuous unit. Scored based on high-resolution photographs provided by Michael Durham (Oregon Zoo, Oregon, USA).",No,Yes,No,No,NA,0.781,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=46078&is_real_user=1),Extant,Calipers,mm,No,118,90,111,100.5,48,0.48,1.17,0.41,0.45,123,136,152,1.12,0.9,1.24,1.17,"Humerus length slightly overestimated (had to measure humerus length diagonally, down to distalmost point on *posterior* margin, rather than anterior margin, because of how the specimen was mounted. Assumed pedal phalangeal formula of 2-2-2-2 for D1–D4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c004,8/22/22,YPM_MAM_007285,Hystrix_cristata,Hystrix_cristata__YPM_MAM_007285,Yes,Genus-level interrelations of Glires were derived from Blanga-Kanfi et al. 2009 [https://doi.org/10.1186/1471-2148-9-71].,Pan-Mammalia,Euarchontoglires,Rodentia,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,almost always on land,predominantly terrestrial,"This species generally inhabits arid, terrestrial habitats and consumes exclusively terrestrial vegetation (Amori and De Smet 2016 [http://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T10746A22232484.en]). However, at least some Hystrix cristata individuals have been strongly suggested to occassionally cross small bodies of water (e.g., an 8m stream) as needed (Pigozzi and Patterson 1990 [Pigozzi G, Patterson IJ (1990). Movements and diet of crested porcupines in the Maremma Natural Park, central Italy. Acta Theriologica. 35: 173-80.]). Assuming this behavior is rare but part of the typical repertoire for the species, we tentatively score  Hystrix cristata as ""Transiently Aquatic"".",LC,Amori and De Smet 2016 (Hystrix cristata: http://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T10746A22232484.en),Webbed,Webbed,"Complete, slight","Complete, slight","Hystrix africae australis possesses complete slight manual webbing and complete slight-to-moderate pedal webbing (Pocock 1922 [https://doi.org/10.1111/j.1096-3642.1922.tb02149.x]). The scorings for other Hystrix spp. are based on this one, and thus remain tentative and require additional verification. ",Yes,Yes,No,No,NA,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=109640&is_real_user=1),Extant,Calipers,mm,No,103,72,101,86.5,43,0.5,1.19,0.42,0.47,105,97,48,0.49,1.08,0.46,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c005,8/22/22,YPM_MAM_006623,Sciurus_carolinensis,Sciurus_carolinensis__YPM_MAM_006623,Yes,Genus-level interrelations of Glires were derived from Blanga-Kanfi et al. 2009 [https://doi.org/10.1186/1471-2148-9-71].,Pan-Mammalia,Euarchontoglires,Rodentia,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,almost always on land,predominantly terrestrial,"This arboreal rodent spends the overwhelming majority of its time on land (Reid 2006, pp. 225–227, Eastern Gray Squirrel [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]; Cassola 2016 [http://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T42462A22245728.en]), but may occasionally swim significant distances en masse during mass migration events, and at least one individual has been observed diving into a river to catch a live fish for food (Sutton et al. 2020 [https://doi.org/10.22621/cfn.v134
i1.2331]). As a result, we call this species Transiently Aquatic.",LC,Cassola 2016 (Sciurus carolinensis: http://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T42462A22245728.en),Unwebbed,Unwebbed,Unwebbed,Unwebbed,"Skin specimens YPM_01614, YPM_MAM_405, YPM_15584: hands and feet clearly unwebbed",Yes,Yes,Sorta,No,NA,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=51481&is_real_user=1),Extant,Calipers,mm,No,45,37,44,40.5,34,0.84,1.11,0.76,0.81,53,62,44,0.71,0.85,0.83,0.77,"Had to measure humerus length diagonally, down to distalmost point on *posterior* margin, rather than anterior margin, because of how the specimen was mounted. In the case of this specimen, this likely caused me to underestimate the humerus length slightly, relative to the value it would have been had I been able to reach the anterior margin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c006,8/22/22,YPM_MAM_007109,Suricata_suricatta,Suricata_suricatta__YPM_MAM_007109,Yes,Family-level interrelations of Carnivora derived from Van Valkenburgh et al. 2014 [https://doi.org/10.1002/ar.23026].,Pan-Mammalia,Ferae,NA,NA,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,Jordan and Do Linh San 2015: This carnivoran is exclusively terrestrial.,LC,Jordan and Do Linh San 2015 (Suricata suricatta),Unwebbed,Unwebbed,Unwebbed,Unwebbed,"No meerkat zoological specimens were available for study. This taxon does appear unwebbed, based on the radiographs presented in van Staden 2014 [https://doi.org/10.1638/2012-0280R1.1], but it is difficult to tell, and this scoring remains tentative.",Yes,Yes,No,No,NA,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=232149&is_real_user=1),Extant,Calipers,mm,No,54,47,59,53,27,0.51,1.02,0.5,0.51,58,62,41,0.66,0.94,0.71,0.68,"Had to measure humerus length diagonally, down to distalmost point on *posterior* margin, rather than anterior margin, because of how the specimen was mounted. In the case of this specimen, this likely caused me to underestimate the humerus length slightly, relative to the value it would have been had I been able to reach the anterior margin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c007,8/22/22,YPM_MAM_007285,Martes_pennanti,Martes_pennanti__YPM_MAM_007285,Yes,Family-level interrelations of Carnivora derived from Van Valkenburgh et al. 2014 [https://doi.org/10.1002/ar.23026]. Species-level interrelations of mustelids derived from Law 2019 [http://dx.doi.org/10.1098/rsbl.2019.0155].,Pan-Mammalia,Ferae,Mustelidae,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, seldom in water",terrestrial/freshwater,"American martens are primarily ground-dwelling, and while they do not typically hunt in the water, they readily swim across lakes or streams as needed (Clark 1987 [https://doi.org/10.2307/3503918]; Reid 2006, American Marten: pp. 462–463 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]). As a result, we consider them Transiently Aquatic.",LC,Helgen and Reid 2018 (Martes pennanti),Webbed,Webbed,"Complete, slight","Complete, slight","Martens and nearly all other mustelids have complete interdigital webbing, which varies in extent but may reach the proximal end of the toe pads (Kitchener et al. 2017 [https://doi.org/10.1093/oso/9780198759805.003.0003]). We directly examined Martes skin specimens AMNH_70236 (Martes foina) and AMNH_120687 (Martes origenes), but were unable to determine their webbing phenotype due to their stiffness and the extent of fur cover. We tentatively scored this species as having complete, slight webbing, given that their webbing was insufficiently prominent to identify from dried skin specimens.",Yes,Yes,No,No,NA,0.126,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=308912&is_real_user=1),Extant,Calipers,mm,No,82,60,76,68,52,0.76,1.21,0.63,0.72,91,88,68,0.77,1.03,0.75,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c008,8/22/22,YPM_MAM_007548,Leopardus_pardalis,Leopardus_pardalis__YPM_MAM_007548,Yes,Family-level interrelations of Carnivora derived from Van Valkenburgh et al. 2014 [https://doi.org/10.1002/ar.23026].,Pan-Mammalia,Ferae,NA,NA,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,"Ocelots are apparently great swimmers, but “will not enter the water unless absolutely necessary” (Murray and Gardner 1997 [https://doi.org/10.2307/3504082]). Other Leopardus species (L. geoffroyi and L. guigna) do readily travel over large water bodies when necessary, making them Transiently Aquatic (Mattern and McLennan 2000 [https://doi.org/10.1006/clad.2000.0132]; Kaiser et al. 2022 [http://dx.doi.org/10.4067/S0717-65382022000100013 ]). However, L. pardalis typically does not (Murray and Gardner 1997 [https://doi.org/10.2307/3504082]; Mattern and McLennan 2000 [https://doi.org/10.1006/clad.2000.0132]), so we consider it Terrestrial.",LC,Paviolo et al. 2015 (Ocelot: http://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T11509A50653476.en),Webbed,Webbed,"Complete, slight","Complete, slight","Leopardus spp. have complete webbing that spans all digits (Pocock 1917 [https://doi.org/10.1080/00222931709487018]). No zoological specimens of Leopardus were available, so we analyzed taxidermied Panthera pardus (leopard) specimen YPM_MAM_13544, but the stiffness of and extent of fur cover on the specimen prevented us from resolving its webbing phenotype directly. We tentatively scored this species as having complete, slight webbing, given that their webbing was insufficiently prominent to identify from dried skin specimens.",Yes,Yes,No,No,NA,0.781,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=47513&is_real_user=1),Extant,Calipers,mm,No,140,114,149,131.5,84,0.64,1.06,0.6,0.63,160,147,95,0.65,1.09,0.59,0.62,"Humerus length slightly overestimated (had to measure humerus length diagonally, down to distalmost point on *posterior* margin, rather than anterior margin, because of how the specimen was mounted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c009,8/22/22,YPM_MAM_007008,Mephitis_mephitis,Mephitis_mephitis__YPM_MAM_007008,Yes,Family-level interrelations of Carnivora derived from Van Valkenburgh et al. 2014 [https://doi.org/10.1002/ar.23026]. Species-level interrelations of mustelids derived from Law 2019 [http://dx.doi.org/10.1098/rsbl.2019.0155].,Pan-Mammalia,Ferae,NA,NA,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,"Skunks occupy terrestrial habitats and have terrestrial food sources (Reid 2006, Striped Skunk: p. 459 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]). Although skunks can swim (Wade-Smith and Verts 1982), and often reside near water (Reid 2006, Striped Skunk, p. 459 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]), they typically avoid it (Wade-Smith and Verts 1982), so we consider them Terrestrial.",LC,Helgen and Reid 2016 (Mephitis mephitis: http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T41635A45211301.en),Webbed,Webbed,"Complete, slight","Complete, slight",Skunks have complete webbing up to the proximal ends of their digit pads (Kitchener et al. 2017 [https://doi.org/10.1093/oso/9780198759805.003.0003]). Direct observation of skin specimens YPM_01975 (Mephitis mephitis mesomeles) and YPM_01503 (Mephitis mephitis nigra) support this claim: Their hands and feet both had complete webbing—slight but spanning all digits.,Yes,Yes,No,No,NA,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=48141&is_real_user=1),Extant,Calipers,mm,No,55,46,59,52.5,24,0.46,1.05,0.44,0.45,NA,NA,NA,NA,NA,NA,NA,Radius measurement was very difficult to collect on mounted specimen.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c010,8/22/22,YPM_MAM_007549,Civetticus_civetta,Civetticus_civetta__YPM_MAM_007549,Yes,Family-level interrelations of Carnivora derived from Van Valkenburgh et al. 2014 [https://doi.org/10.1002/ar.23026].,Pan-Mammalia,Ferae,NA,NA,No,"Recent, original skeleton",NA,Non-flippered,Data Deficient,data deficient,data deficient,"Although they are predominantly terrestrial, African civets typically reside near permanent water sources (Ray 1995; Do Linh San et al. 2019). They are apparently able swimmers and “do not fear water” (Ray 1995, p. 488). However, we cannot find more information about whether these occasional forays into the aquatic medium are extended or recurrent, so we cannot resolve whether they are Terrestrial or Transiently Aquatic.",LC,Do Linh San et al. 2019 (Civettictus civetta),Webbed,Webbed,"Partial, slight","Partial, slight","Skin specimen YPM_01515 and fluid-preserved specimens YPM_MAM_14925 and YPM_MAM_14931: partial webbing, between D3 and D4, on both hands and feet (all specimens labeled as “Viverra civetta”, a synonym of “Civetticus civetta”).",Yes,Yes,No,No,NA,5.333,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=231967&is_real_user=1),Extant,Calipers,mm,No,93,84,95,89.5,51,0.57,1.04,0.55,0.56,111,107,68,0.64,1.04,0.61,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c011,8/22/22,YPM_MAM_006535,Vulpes_vulpes_fulva,Vulpes_vulpes_fulva__YPM_MAM_006535,Yes,Family-level interrelations of Carnivora derived from Van Valkenburgh et al. 2014 [https://doi.org/10.1002/ar.23026].,Pan-Mammalia,Ferae,NA,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,almost always on land,predominantly terrestrial,"This species occupies terrestrial environments and spend the overwhelming majority of their time on land (Storm et al. 1976 [https://www.jstor.org/stable/3830425]; Reid 2006, Red Fox, pp. 447–448 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]). However, they are apparently good swimmers (Larivière and Pasitschniak-Arts 1996 [https://doi.org/10.2307/3504236]), and though they will avoid submerging when they can, at least a few foxes have been observed crossing large water ways during dispersal events, which seems to be a typical low-frequency occurrence (Storm et al. 1976 [https://www.jstor.org/stable/3830425]). As a result, we consider this species ever so slightly Transiently Aquatic.",LC,Hoffmann and Sillero-Zubiri 2021 (Vulpes vulpes: https://dx.doi.org/10.2305/IUCN.UK.2021-1.RLTS.T23062A193903628.en),Unwebbed,Unwebbed,Unwebbed,Unwebbed,"No Vulpes_vulpes_fulva specimens were available, so we scored webbing phenotype based on taxidermied Vulpes_vulpes specimen (YPM_MAM_13512), and a skin specimen of Vulpes_vulpes_niloticus (YPM_03335), which both appeared completely unwebbed.",No,Yes,No,No,NA,3.2,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=52691&is_real_user=1),Extant. Oldest max age for Vulpes vulpes used.,Calipers,mm,No,116,113,129,121,80,0.66,0.96,0.69,0.67,126,139,104,0.75,0.91,0.83,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c012,8/22/22,YPM_MAM_007402,Oreamnos_americanus,Oreamnos_americanus__YPM_MAM_007402,Yes,Family-level interrelations of artiodactyls derived from Gatesy et al. 2013 [http://dx.doi.org/10.1016/j.ympev.2012.10.012].,Pan-Mammalia,Ungulata,Artiodactyla,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, seldom in water",predominantly terrestrial,"This species primarily inhabits precipitous slopes and mountainsides (Reid 2006, Mountain Goat, pp. 504–505 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]). However, it is also known to swim through major rivers and other bodies of water to establish new territories (Rideout 1974; Kavicic et al. 2020). As a result, we consider this species Transiently Aquatic.",LC,Festa-Bianchet 2022 (Oreamnos americanus),Webbed,Webbed,Unwebbed,Unwebbed,"Taxidermied Oreamnos_americanus specimen YPM_MAM_013634: proximal phalanges of D3 and D4 are completely encased in a muscular soft-tissue “palm”, but no soft interdigital tissue is present distal to the extended palm.",No,Yes,No,No,NA,1.8,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=49372&is_real_user=1),Extant,Calipers,mm,No,126,108,146,127,126,0.99,0.99,1,0.99,150,154,132,0.86,0.97,0.88,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c013,8/22/22,YPM_MAM_007229,Sus_scrofa,Sus_scrofa__YPM_MAM_007229,Yes,Family-level interrelations of artiodactyls derived from Gatesy et al. 2013 [http://dx.doi.org/10.1016/j.ympev.2012.10.012].,Pan-Mammalia,Ungulata,Artiodactyla,NA,No,"Recent, original skeleton",NA,Non-flippered,Transiently Aquatic,"primarily on land, seldom in water",terrestrial/euryhaline,"Although this species is primarily terrestrial (Reid 2006, Wild Boar, pp. 487–488 [Reid FA (2006). Peterson Field Guide to Mammals of North America, Fourth Edition. Houghton Mifflin Company: Boston. 579 pp.]), and most individuals presumably spend little time in the water, wild boars are great swimmers (Kavicic et al. 2020 [https://doi.org/10.1080/03949370.2020.1733669]), and multiple reports describe extended voyages at sea spanning several kilometers (Yong et al. 2010 [https://api.semanticscholar.org/CorpusID:150368393] and references therein; IUCN Wild Pig Specialist Group 2014 [https://www.researchgate.net/publication/264898388_Suiform_Soundings_131__Suiform_Soundings_Newsletter_of_the_IUCN_SSC_Wild_Pig_Peccary_and_Hippo_Specialist_Groups]). Because these journeys are common for the species as a whole, but presumably rare events for individual animals, we consider the wild boar Transiently Aquatic.",LC,Keuling and Leus 2019 (Sus scrofa: http://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T41775A44141833.en),Unwebbed,Unwebbed,Unwebbed,Unwebbed,"Google image searches suggest that the proximal phalanges of pigs, like most other artiodactyls, are embedded in a soft-tissue “palm”, without soft interdigital tissue distal to them. However, no zoological specimens of Sus scrofa were available for direct observation, so this scoring remains tentative.",No,Yes,No,No,NA,15.97,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=104172&is_real_user=1),Extant,Calipers,mm,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,200,140,0.7,1.18,0.6,0.64,Femur slightly underestimated (couldn’t access proximal most point of femoral head) due to articulation.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c014,8/22/22,YPM_MAM_007455,Phacochoerus_aethiopicus,Phacochoerus_aethiopicus__YPM_MAM_007455,Yes,Family-level interrelations of artiodactyls derived from Gatesy et al. 2013 [http://dx.doi.org/10.1016/j.ympev.2012.10.012].,Pan-Mammalia,Ungulata,Artiodactyla,NA,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,The Desert Warthog is primarily terrestrial (de Jong et al. 2016 [http://dx.doi.org/10.2305/IUCN.UK.2016- 1.RLTS.T41767A44140316.en]; see also IUCN Wild Pig Specialist Group 2014). We find no reports of aquatic habits for the species.,LC,de Jong et al. 2016 (Phacochoerus aethiopicus: http://dx.doi.org/10.2305/IUCN.UK.2016- 1.RLTS.T41767A44140316.en),Unwebbed,Unwebbed,Unwebbed,Unwebbed,"Google image searches suggest that the proximal phalanges of pigs, like most other artiodactyls, are embedded in a soft-tissue “palm”, without soft interdigital tissue distal to them. However, no zoological specimens of Sus scrofa were available for direct observation, so this scoring remains tentative.",No,Yes,No,No,NA,2.588,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=133159&is_real_user=1),Extant,Calipers,mm,No,203,150,207,178.5,112,0.63,1.14,0.55,0.6,NA,NA,NA,NA,NA,NA,NA,"Hindlimbs out of reach (specimen too large to remove saffely from cabinet), so I couldn't measure them.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c015,8/22/22,YPM_MAM_006833,Equus_caballus,Equus_caballus__YPM_MAM_006833,Yes,Species-level interrelations of sampled Perissodactyls derived from Steiner and Ryder 2011 [http://doi.org/10.1111/j.1096-3642.2011.00752.x].,Pan-Mammalia,Ungulata,Perissodactyla,NA,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,Equus ferus caballus naturally resides in arid or semi-arid landscapes (King et al. 2015 [https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T41763A45172856.en]). We find no reference to aquatic habits in this species.,EN,King et al. 2015 (Equus ferus [https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T41763A45172856.en]),"Unclear, terr.","Unclear, terr.","Unclear, terr.","Unclear, terr.","Equus species are functionally monodactyl, and their autopodia have a complicated evolutionary history that makes it challenging to assign them a webbing phenotype. Historically, Equus was thought to have a complete digit III and reduced metacarpal remnants of digits II and IV (Solounias et al. 2018 [http://dx.doi.org/10.1098/rsos.171782]). However, a recent study has suggested that the dominant digit of Equus is a composite, with distal remnants of digits I, II, IV, and V expressed about the ventral and ventrolateral aspects of the digit III hoof. This complicates any interpretation of webbing in the taxon. One might consider the species Stubbed, given that these digit remnants are all enclosed together into a single unit functionally representing a single digit. Alternatively, one might reject that these digit remnants constitute separate phalangeal digits, in which case horses would have only one digit, precluding the presence of a connective tissue palm between adjacent digits. Given this ambiguity, we do not assign a webbing phenotype to the species.",Yes,Yes,No,No,NA,3.6,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=46259&is_real_user=1),Extant,Calipers,mm,No,174,204,244,224,232,1.04,0.78,1.33,1.12,NA,NA,NA,NA,NA,NA,NA,"To account for their modified zeugopod anatomy without artefactually underestimating zeugopod length, ulna length was measured from the proxmost point of the ulna to the laterodistalmost point of the radius (so this latter point was used for both forelimb zeugopod bone measurements).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m-c016,8/25/22,YPM_MAM_006771,Zaedyus_pichiy,Zaedyus_pichiy__YPM_MAM_006771,Yes,"Atlantogenata topology from Alvarez-Carretero et al. 2022 and Heritage et al. 2021 [Heritage S, Seiffert ER, Borths MR (2021). Recommended fossil calibrators for time-scaled molecular phylogenies of Afrotheria. Afrotherian Conservation 17. Accessed via URL=https://www.afrotheria.net/newsletter.php.2021.]",Pan-Mammalia,Atlantogenata,Xenarthra,NA,No,"Recent, original skeleton",NA,Non-flippered,Terrestrial,almost always on land,predominantly terrestrial,"This species occupies deserts and arid grasslands (Superina et al. 2025 [Superina, M., Pasutti Morales, R., Gallo, J. & Abba, A.M. 2025. Zaedyus pichiy. The IUCN Red List of Threatened Species 2025: e.T23178A244102210. Accessed on 25 May 2025.]). We find no reference to aquatic habits.",NT,"Superina et al. 2025 [Superina, M., Pasutti Morales, R., Gallo, J. & Abba, A.M. 2025. Zaedyus pichiy. The IUCN Red List of Threatened Species 2025: e.T23178A244102210. Accessed on 25 May 2025.]","Unclear, terr.","Unclear, terr.","Unclear, terr.","Unclear, terr.",No zoological specimens were available for us to examine.,Yes,Yes,No,No,NA,10,0,The Paleobiology Database (https://paleobiodb.org/classic/checkTaxonInfo?taxon_no=83728&is_real_user=1),Extant,Calipers,mm,No,42,25,39,32,25,0.78,1.31,0.6,0.71,41,NA,NA,NA,NA,NA,NA,Tibia mounted in position where I couldn't fit my calipers in to measure it.,Calipers,13,7.6,26,1.71,2.52,14,10,25,1.4,2.08,4.9,13,11,2.65,2.24,0.85,2.7,7,5.9,2.59,2.19,0.84,No keratinous sheaths were present on the unguals measured.,4.1,4.7,3.6,1.14,0.77,6.6,4.5,3.7,1.78,0.82,NA
